,S,K,T,r,sigma,value
0,0.0,50.0,0.32108531847093885,0.9793064537642316,0.3241708687565257,36.50984976797775
1,2.8537865834813166e-65,50.0,0.6705500220395069,0.9742866088697535,0.05073634688536149,26.016087544308235
2,1.1490904334156738e-62,50.0,0.003182151256143268,0.9313064134477861,0.7581473435655325,49.85204145647225
3,6.278982230190444e-26,50.0,0.0006552298768425492,0.8878564512188949,0.053390580962438865,49.97092095552894
4,1.7682788468760716e-129,50.0,0.0012664047762437256,0.9048203582225344,0.311911263988804,49.94273937168496
5,3.7243595321513565e-174,50.0,0.15732923302403182,0.9636167239699243,0.6072188549043002,42.96637896453978
6,2.5011871798720643e-89,50.0,0.7394963659478502,0.9745775793935456,0.2292831971674641,24.320665648345987
7,2.188530933126682e-59,50.00000131307611,0.004767072721610502,0.9308633160562756,0.49440833330005185,49.77861820745504
8,1.5551490586303832e-74,50.0,3.5837072537494203e-07,0.8486648361345558,0.2828764671879951,49.99998479317067
9,1.5886745953805297e-17,50.00000000116506,0.06704280485969567,0.9544132544535731,0.36355144066773326,46.90088118542813
10,4.27600043589088e-195,50.0,4.90294851739309e-05,0.9725116172449472,1.045675264918108,49.997615969641856
11,5.258823896068743e-121,50.12791102531436,0.3493742401752183,0.9530834700301986,0.5741626672554262,35.93081004981823
12,5.30953731230321e-27,50.0,0.2286745341080362,0.9661952259339628,0.059770888852733545,40.08806913674102
13,2.530249119326991e-05,50.0,0.01353139748573172,0.8915608512641936,0.08830446251427923,49.400395437771465
14,5.265735024267356e-16,50.000000000000014,0.015746255893989355,0.9520473976920883,0.9680538832103743,49.25603132051977
15,2.91897519680921e-147,50.0,0.05162698455051789,0.9718290964979764,0.36370754223860674,47.553262550045766
16,2.944353621437637e-192,50.00098676133618,3.172061050061534e-06,0.896595921066914,0.1481981679764241,50.00084455588205
17,2.2914520701366685e-37,50.0,7.742194370654532e-10,0.8974705650375152,0.9224145971396475,49.99999996525804
18,4.933523998055838e-48,50.0,0.20548376922710151,0.9949515305773083,0.805289687542257,40.75492188009314
19,2.542728059380039e-78,50.0,0.011146823311811976,0.960128868411761,0.33115635119064535,49.46773399622012
20,6.411380641768379e-36,50.0,0.03073598484039738,0.9903944706016631,0.9297664002285395,48.50089522370071
21,2.730310820934063e-104,50.0,1.3686301027495808e-06,0.9951441588430084,0.6202938051812601,49.99993190083376
22,1.8361516011306856e-118,50.13824493013987,0.00016643934902756442,0.9601738628803025,0.8250241312592315,50.130232941702346
23,2.793507097606475e-39,50.0,0.0732978409836643,0.9666650315919327,0.2071360313575753,46.57987335855465
24,2.357202368495414e-21,50.0,0.05063882090382515,0.9410146630614531,0.08211878883797832,47.67328282276566
25,1.148148858750739e-184,50.0,0.8604161285862614,0.9751879844487532,0.7795441697605894,21.605664705788065
26,2.7399695993106735e-63,50.0000171959707,0.02397726655004926,0.997147080789674,0.6643006117725915,48.818751348634244
27,2.2564442644475705e-70,50.0,0.001227517355381921,0.9554866090188449,0.22898090607692484,49.94139055776417
28,5.022458905537259e-34,50.0000015040095,0.012951440554846995,0.9277564474301012,0.3521156664048046,49.40280742427844
29,1.9829467883171074e-21,50.0,0.4376220230961117,0.9895758751174284,0.14700372203874268,32.42607259619719
30,1.1393321128544415e-82,50.0,0.041041179678867404,0.9880408123320646,0.17373825000090748,48.013040203542694
31,7.31069003393364e-19,50.0,0.00019752353875569865,0.9898879825922725,0.16610070446159902,49.99022464683519
32,2.6795721422502563e-62,50.00024962277848,2.9236553450075485e-05,0.9870910978275873,0.6006997855181664,49.99880667931365
33,5.7958964496137496e-55,50.0,0.005485922923864726,0.9749487338263687,0.6562911098409867,49.73328920586663
34,1.1320685015785323e-212,50.0,0.16760544366452015,0.9247395088068251,0.4175028163849158,42.82112817708438
35,1.3043133507721227e-133,50.0,0.714962728165796,0.9887918722573441,0.1954713873118099,24.65731647503029
36,7.536985518613713e-64,50.0,0.007213494702459339,0.9545727594771096,0.12532070992388322,49.65689236473196
37,1.8547228277824638e-129,50.0,0.9856113058922147,0.9922078009384544,0.48789946639675796,18.804416811580086
38,2.4955111192487986e-09,50.0,2.5619385373922367e-06,0.9342640022273572,0.15837647614861844,49.99988032130014
39,1.934037915244136e-96,50.0,0.3520677929803322,0.9034171691476229,0.8221703369905171,36.37780793296683
40,1.594530913924888e-141,50.00000000001898,6.620764727952615e-09,0.9332751735337833,0.06663878172860646,49.99999969106921
41,2.5108363329408674e-93,50.00000000889238,0.9585450284168257,0.9136185082406192,0.4203845505098908,20.82758951252655
42,7.033050176500266e-06,50.00296863525048,0.8064828710779866,0.9326447195857728,0.12233411041692625,23.568712402988208
43,7.764580158768349e-09,50.0,1.2178233957644114e-07,0.966605659238458,0.06740206457491695,49.99999410646083
44,2.0123754130336416e-64,50.00041320549744,0.6179451307924355,0.991524906728807,0.2086372781177423,27.09429749843818
45,1.8442213979765816e-65,50.0,0.06903400899725724,0.9036508516607104,0.9094306577422202,46.976165891911066
46,7.222323373832292e-289,50.0,0.33542028396497003,0.9294938223363788,0.5427989497347168,36.60745556398078
47,1.423669510312298e-202,50.000000233470416,0.6515383880057811,0.9267172210630319,0.48143965388810056,27.33672853969346
48,2.386953564304161e-68,50.0,0.00023051716801441294,0.9793206890721305,0.19101561222908486,49.988713762392166
49,2.8266609681459844e-75,50.0,1.9759922896821843e-06,0.944269494282759,0.2218299687131849,49.99990670662503
50,3.8717995577702815e-190,50.00001773738001,1.0734103339928594e-08,0.8644943224059164,0.6294894297279104,50.000017273401276
51,7.182343557750109e-35,50.0,0.11044812334096467,0.9894463684658023,0.6316228876248123,44.823856591291204
52,3.401530441167296e-32,50.0,1.2084947776998534e-10,0.9507983397866475,0.808370208265617,49.99999999425482
53,1.0774385291168602e-15,50.0,0.12975829799283364,0.9751360600549184,0.20664131987674061,44.057297820931005
54,1.6139958368890916e-29,50.0000449683338,0.009150767355376578,0.953909645568019,1.021999438924418,49.56549367307598
55,2.682157167426664e-45,50.0,0.4974068766704627,0.9677831705200359,0.05878538982907973,30.896441062066604
56,2.3293309155259894e-60,50.0,0.30914557211667076,0.9907476339362328,0.26905676575881377,36.808829973018625
57,6.457109218577164e-90,50.0,6.078823751672478e-07,0.8494741471330484,0.5785808652333685,49.99997418098855
58,4.038407800451566e-64,50.0,0.3949404598560945,0.9240438142178897,0.9007987049377577,34.71183574381916
59,2.454155586639343e-120,50.000004612952615,6.924377760738582e-07,0.9640680983393071,0.11818939557582353,49.99997123510218
60,1.1049028493128163e-100,50.00000000030458,0.005089829606675439,0.9827395166915093,0.05766281447788159,49.75052561858761
61,5.986919003036516e-44,50.00000010782683,0.0020450708854042143,1.0007426616185335,0.7613116949155002,49.89777526538807
62,2.4991657548097468e-210,50.23767864258187,0.33240922892525954,0.9488898230941195,0.3400477033345418,36.647513490607956
63,1.907685594190494e-139,50.0,0.31596467958238855,0.8653072599295235,0.3138259058390922,38.03917213030011
64,8.243840529420589e-60,50.00000000035389,4.9573099938630736e-05,0.9750644551590025,0.8869742457097513,49.997583210380384
65,8.029481457233668e-144,50.00000000017793,0.012533013436968445,0.9881196417281446,0.2726348526824334,49.3846125428355
66,4.872076570304015e-89,50.00000000133754,1.1771814181234612e-07,0.9208438643068736,0.5077145791033149,49.9999945813364
67,5.159573295408778e-84,50.0,0.2708010485062451,0.9967491020307861,0.4647218153380753,38.17200156297332
68,6.732744269818466e-11,50.00000000000006,0.0003658271820843161,0.9772159812443151,0.43752817270022876,49.98212858613299
69,0.0002497818593097451,50.0,0.06647861581179128,0.8724930309096652,0.5100051401304542,47.18214713853607
70,1.2969602908151931e-79,50.0,0.5153201496959768,0.9934025861689738,0.5302379983144835,29.967175601052915
71,1.7734555897886971e-15,50.0,0.03260806293605172,0.9127237298055487,0.07832714443929363,48.533818936463376
72,1.0091984623710111e-48,50.0,0.0037601312956345033,0.9631382204773072,0.40885598274585105,49.81925118259398
73,6.651511724223802e-108,50.0,0.1750650139691446,0.9842115316501574,0.281550245719021,42.0862885457526
74,1.4368078510589029e-151,50.0,0.5121450093610173,0.9595601623039784,0.10283695979209369,30.58742745735561
75,4.5265549758177536e-34,50.0,0.005479869106334779,0.9853792793875894,0.5346453594255185,49.73074014855371
76,4.992943615407333e-109,50.0,0.03699325917369677,0.9226026258691649,0.3421748577337272,48.3222891537488
77,1.0403061682519144e-114,50.0,0.0755195952697192,0.9696425402714215,0.9687168971735101,46.46949116249699
78,5.010179896298961e-06,50.0876973600669,0.16165924104104565,0.9381535313763959,0.8204883493748035,43.039319807030864
79,1.6707450499965176e-40,50.0,5.248462607580164e-05,0.9922462313346175,0.32042219200686684,49.997396184179586
80,4.3424530640926885e-39,50.508033720671634,0.02243983179241162,0.9833632895069125,0.9201412939265634,49.4057048539217
81,2.5281775598194413e-167,50.0,0.01911079126240964,0.9658695584608957,0.09446850454346026,49.08553919016125
82,1.5938596082747217e-06,50.0,0.0004784891746307572,0.9394749635336848,0.5643450444619004,49.97752702728816
83,9.933865850213664e-15,50.0,0.3521800967824921,0.8924169732698604,0.12695258824911157,36.51530579028923
84,7.057066065228707e-54,50.0,0.5028624075262302,0.9417994000988535,0.09949133875652436,31.13795495643059
